chunker,chunk_size,embedding_model,n_chunks,R@15,MRR@15,R@20,MRR@20,R@25,MRR@25,R@30,MRR@30
LateChunker,1024,text-embedding-ada-002,8167,0.46842105263157896,0.28788288611972823,0.4842105263157895,0.28877550918927,0.5010526315789474,0.2895121204803435,0.5136842105263157,0.2899619947977315
LateChunker,512,text-embedding-ada-002,17297,0.5231578947368422,0.3481820810768179,0.5378947368421053,0.3490055969097439,0.5515789473684211,0.34961726243719893,0.5621052631578948,0.349995482523223
NeuralChunker,0,text-embedding-ada-002,73497,0.47789473684210526,0.29901884372937004,0.4926315789473684,0.2998393812703329,0.5010526315789474,0.3002129515596927,0.5136842105263157,0.30067080559649406
RecursiveChunker,1024,text-embedding-ada-002,42830,0.5231578947368422,0.33844427794427795,0.5410526315789473,0.33941332271823554,0.5484210526315789,0.3397310716359845,0.5568421052631579,0.34003369749033446
RecursiveChunker,512,text-embedding-ada-002,91897,0.3410526315789474,0.2080100075363233,0.3568421052631579,0.20890065262168894,0.37157894736842106,0.2095323157716587,0.38,0.20983234893739064
SemanticChunker,1024,text-embedding-ada-002,84624,0.4368421052631579,0.2600091078512131,0.4473684210526316,0.26060647717752167,0.46,0.26117049393879244,0.46421052631578946,0.2613226478277884
SemanticChunker,512,text-embedding-ada-002,85156,0.4368421052631579,0.25917201511938354,0.44842105263157894,0.25981893815452556,0.4610526315789474,0.2603829549157963,0.46421052631578946,0.2604946229748328
SentenceChunker,1024,text-embedding-ada-002,35900,0.4957894736842105,0.3132927335822073,0.5031578947368421,0.313710432240618,0.5147368421052632,0.3142229041318085,0.5252631578947369,0.3145949017651491
SentenceChunker,512,text-embedding-ada-002,77722,0.37684210526315787,0.22254895397000657,0.38842105263157894,0.22322009260089754,0.4010526315789474,0.22378720108356667,0.41368421052631577,0.22424348030209634
